	0	0													
	1	0													
	2	0	0	0	0	0	1								
	3	0	0	0											
	4	0	0	0											
	5	1	0	0	0										
	6	1	1	0	0	0									
	7	0	1	0											
	8	1	1	1	0										
	9	0													
	10	0													
	11	0													
	12	0													
	13	1	1	0	0	0	0	1							
	14	1	1												
	15	0	0	0	0										
	16	0	0												
	17	0	0	0	1										
	18	0													
	19	0													
	20	0	0	0	0	0	0	0	1						
	21	0	0	0											
	22	0	0												
	23	1	0	0	0	0	0								
	24	0	1	1											
	25	0													
	26	1	0	1	0	1	1								
	27	1	1	0											
	28	1	0	0	1	0									
	29	1	0	0	0										
	30	0	1	0	0	0									
	31	0	1	1	1	1	1	1	1						
	32	0	0	1	0	0	0	1	0						
	33	1	0	0	0	0	0	0	0	1	0	1	1		